,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.407354387,-6.659250892,-3.648339546,-4.061017944,-0.693415074,6.49e-05,-0.053397034,0,0,0,-0.046516439,6.49e-05,-0.053397034,0,-822.8586111,0.000268686,-2.35e-05
1,73,0,99,0.003490659,0.001745329,0.375943487,-7.033976024,-3.682969062,-4.349851458,-0.910022003,3.87e-05,-0.036874568,0,0,0,-0.028094854,3.87e-05,-0.036874568,0,-952.8791102,0.000970655,-0.000122753
2,74,0,99,0.005235988,0.001745329,0.332805987,-7.586274527,-4.111211721,-4.946681548,-1.43620608,3.76e-05,-0.03463562,0,0,0,-0.026129153,3.76e-05,-0.03463562,0,-922.1250026,0.001949401,-0.000211632
3,75,0,99,0.006981317,0.001745329,0.447260202,-7.767338551,-4.001055983,-4.843404191,-1.34084012,2.81e-05,-0.031335706,0,0,0,-0.023476621,2.81e-05,-0.031335706,0,-1114.58311,0.002890023,-0.000134904
4,76,0,99,0.008726646,0.001745329,0.378599007,-7.557751097,-3.709331048,-4.562391915,-1.05800361,2.21e-05,-0.026913178,0,0,0,-0.019859511,2.21e-05,-0.026913178,0,-1216.29654,0.003550712,0.000213109
5,77,0,99,0.010471976,0.001745329,0.373223885,-7.421258477,-3.530658087,-4.392500535,-0.882337547,2.25e-05,-0.021846055,0,0,0,-0.015759655,2.25e-05,-0.021846055,0,-969.0872665,0.003899212,0.000818668
6,78,0,99,0.012217305,0.001745329,0.438936924,-7.363480403,-3.448289102,-4.315194718,-0.80112534,2.73e-05,-0.016688234,0,0,0,-0.011747032,2.73e-05,-0.016688234,0,-612.2857554,0.004100012,0.001558607
7,79,0,99,0.013962634,0.001745329,0.434084828,-7.360178843,-3.429239901,-4.298387707,-0.782852318,3.44e-05,-0.012066329,0,0,0,-0.008366293,3.44e-05,-0.012066329,0,-350.7828675,0.004390484,0.00227013
8,80,0,99,0.015707963,0.001745329,0.462805139,-7.395854916,-3.460152483,-4.329612933,-0.814298781,4.18e-05,-0.00843324,0,0,0,-0.005896451,4.18e-05,-0.00843324,0,-201.630476,0.004934925,0.002832088
9,81,0,99,0.017453293,0.001745329,0.543546519,-7.470438984,-3.539702786,-4.408865957,-0.894203435,4.72e-05,-0.005813176,0,0,0,-0.004200971,4.72e-05,-0.005813176,0,-123.141545,0.005738968,0.003212548
10,82,0,99,0.019198622,0.001745329,0.467854535,-7.584520749,-3.662498504,-4.531694697,-1.017310547,4.99e-05,-0.003838266,0,0,0,-0.002863303,4.99e-05,-0.003838266,0,-76.92327372,0.006659241,0.003463631
11,83,0,99,0.020943951,0.001745329,0.472818403,-7.721399918,-3.802580218,-4.672226841,-1.157490124,5.11e-05,-0.00204473,0,0,0,-0.001493181,5.11e-05,-0.00204473,0,-40.02805775,0.007488034,0.003675049
12,84,0,99,0.02268928,0.001745329,0.442850453,-7.830062327,-3.905854173,-4.775446019,-1.260204309,5.24e-05,-0.000179299,0,0,0,3.5e-05,5.24e-05,-0.000179299,0,-3.422298169,0.008058442,0.003916708
13,85,0,99,0.02443461,0.001745329,0.441828616,-7.868159375,-3.936495162,-4.805621529,-1.290379748,5.47e-05,0.001676549,0,0,0,0.00154271,5.47e-05,0.001676549,0,30.64651731,0.008314102,0.004201196
14,86,0,99,0.026179939,0.001745329,0.448884662,-7.878765307,-3.941609937,-4.810562097,-1.29564265,5.76e-05,0.003191396,0,0,0,0.002682812,5.76e-05,0.003191396,0,55.41006144,0.008314237,0.004482036
15,87,0,99,0.027925268,0.001745329,0.509496265,-7.912456721,-3.99938056,-4.865873608,-1.353006687,5.97e-05,0.003987387,0,0,0,0.003140861,5.97e-05,0.003987387,0,66.82724903,0.008181574,0.004683168
16,88,0,99,0.029670597,0.001745329,0.627885768,-7.984382969,-4.206946372,-5.054727855,-1.554052092,5.99e-05,0.003838302,0,0,0,0.002790023,5.99e-05,0.003838302,0,64.12498466,0.008028208,0.004740085
17,89,0,99,0.031415927,0.001745329,0.593793427,-8.006019889,-5.017172151,-5.443282628,-2.086239922,5.85e-05,0.002766638,0,0,0,0.001732155,5.85e-05,0.002766638,0,47.32879926,0.007900116,0.004630158
18,90,0,99,0.033161256,0.001745329,0.485873715,-7.883611177,-4.189295487,-5.031062276,-1.526485016,5.67e-05,0.001008553,0,0,0,0.00022388,5.67e-05,0.001008553,0,17.78523176,0.00776539,0.004378531
19,91,0,99,0.034906585,0.001745329,0.51995257,-7.762491364,-3.914745426,-4.779826674,-1.264094531,5.56e-05,-0.001115765,0,0,0,-0.001458052,5.56e-05,-0.001115765,0,-20.07363496,0.007545341,0.004040277
20,92,0,99,0.036651914,0.001745329,0.492481048,-7.69381107,-3.798595643,-4.66774387,-1.150528563,5.52e-05,-0.003347783,0,0,0,-0.003136226,5.52e-05,-0.003347783,0,-60.6240708,0.007166133,0.003671365
21,93,0,99,0.038397244,0.001745329,0.494070187,-7.668567419,-3.756495827,-4.626589019,-1.109267029,5.54e-05,-0.005577811,0,0,0,-0.004780067,5.54e-05,-0.005577811,0,-100.6986985,0.006601599,0.003304615
22,94,0,99,0.040142573,0.001745329,0.513031482,-7.667940705,-3.751073082,-4.621145516,-1.104017021,5.61e-05,-0.007839933,0,0,0,-0.006469406,5.61e-05,-0.007839933,0,-139.6674643,0.005886799,0.002941874
23,95,0,99,0.041887902,0.001745329,0.52017749,-7.67142204,-3.75483967,-4.624423833,-1.10759993,5.79e-05,-0.010232469,0,0,0,-0.008306108,5.79e-05,-0.010232469,0,-176.7864915,0.005099668,0.002563676
24,96,0,99,0.043633231,0.001745329,0.519063194,-7.664958125,-3.749150177,-4.618107028,-1.101652344,6.11e-05,-0.012816609,0,0,0,-0.01032713,6.11e-05,-0.012816609,0,-209.6967582,0.004324605,0.002148666
25,97,0,99,0.045378561,0.001745329,0.449700892,-7.649614212,-3.731264084,-4.599816914,-1.083718733,6.59e-05,-0.015548867,0,0,0,-0.012463517,6.59e-05,-0.015548867,0,-235.7784936,0.003618795,0.001691303
26,98,0,99,0.04712389,0.001745329,0.575295115,-7.637122917,-3.712815058,-4.581273197,-1.065486778,7.18e-05,-0.018277563,0,0,0,-0.01456003,7.18e-05,-0.018277563,0,-254.6325242,0.002997496,0.001208961
27,99,0,99,0.048869219,0.001745329,0.576279159,-7.639855591,-3.709681308,-4.578118842,-1.062678684,7.74e-05,-0.020796646,0,0,0,-0.016437254,7.74e-05,-0.020796646,0,-268.5501065,0.00244251,0.000736275
28,100,0,99,0.050614548,0.001745329,0.477125905,-7.665967995,-3.734501091,-4.602780848,-1.087786474,8.17e-05,-0.022922218,0,0,0,-0.017959349,8.17e-05,-0.022922218,0,-280.6499587,0.00192573,0.000311317
29,101,0,99,0.052359878,0.001745329,0.455870441,-7.718593714,-3.795650526,-4.663527944,-1.149125732,8.38e-05,-0.024550794,0,0,0,-0.019073181,8.38e-05,-0.024550794,0,-292.9073025,0.001433304,-3.84e-05
30,102,0,99,0.054105207,0.001745329,0.481678201,-7.795376165,-3.899579056,-4.766688596,-1.253126308,8.41e-05,-0.025673516,0,0,0,-0.019804064,8.41e-05,-0.025673516,0,-305.4169913,0.000977923,-0.000302993
31,103,0,99,0.055850536,0.001745329,0.464033152,-7.88507376,-4.05437402,-4.919857197,-1.407816516,8.32e-05,-0.026346489,0,0,0,-0.020217234,8.32e-05,-0.026346489,0,-316.8540395,0.000594627,-0.00048849
32,104,0,99,0.057595865,0.001745329,0.477426684,-7.966896502,-4.279934442,-5.139770136,-1.632300939,8.18e-05,-0.026639228,0,0,0,-0.020369972,8.18e-05,-0.026639228,0,-325.6672512,0.000324608,-0.000607875
33,105,0,98,0.059341195,0.001745329,0.459148039,-8.010792352,-4.653738966,-5.469937209,-1.992120519,8.03e-05,-0.026590756,0,0,0,-0.020280017,8.03e-05,-0.026590756,0,-331.2220916,0.000196872,-0.000671335
34,106,0,97,0.061086524,0.001745329,0.458107258,-8.012568394,-5.016687227,-5.667705264,-2.26168085,7.84e-05,-0.026194383,0,0,0,-0.019923803,7.84e-05,-0.026194383,0,-333.9967553,0.000217248,-0.000680359
35,107,0,98,0.062831853,0.001745329,0.441360417,-8.004433165,-4.474188926,-5.309507736,-1.810750377,7.59e-05,-0.02541424,0,0,0,-0.019260587,7.59e-05,-0.02541424,0,-334.7412033,0.00036913,-0.000628222
36,108,0,99,0.064577182,0.001745329,0.451354385,-7.961090419,-4.235178869,-5.092379092,-1.581081211,7.27e-05,-0.024220118,0,0,0,-0.018266146,7.27e-05,-0.024220118,0,-333.3502812,0.000623797,-0.000505605
37,109,0,99,0.066322512,0.001745329,0.439847929,-7.881302393,-4.066097143,-4.928275648,-1.414775452,6.89e-05,-0.022619803,0,0,0,-0.016957258,6.89e-05,-0.022619803,0,-328.2672623,0.000953728,-0.000307678
38,110,0,99,0.068067841,0.001745329,0.524281536,-7.805250505,-3.94328423,-4.808028915,-1.29352539,6.52e-05,-0.020672203,0,0,0,-0.015395321,6.52e-05,-0.020672203,0,-316.8992934,0.001341858,-3.88e-05
